Local,GolesLocal,GolesVisitante,Visitante
Troyes,1,2,Paris
Paris,4,2,Strasbourg
Brest,2,4,Paris
Reims,0,2,Paris
Paris,4,0,Clermont Foot
Paris,2,1,Lyon
Metz,1,2,Paris
Paris,2,0,Montpellier
Rennes,2,0,Paris
Paris,2,1,Angers
Marseille,0,0,Paris
Paris,2,1,LOSC
Bordeaux,2,3,Paris
Paris,3,1,Nantes
Saint-Étienne,1,3,Paris
Paris,0,0,Nice
Lens,1,1,Paris
Paris,2,0,Monaco
Lorient,1,1,Paris
Lyon,1,1,Paris
Paris,2,0,Brest
Paris,4,0,Reims
LOSC,1,5,Paris
Paris,1,0,Rennes
Nantes,3,1,Paris
Paris,3,1,Saint-Étienne
Nice,1,0,Paris
Paris,3,0,Bordeaux
Monaco,3,0,Paris
Paris,5,1,Lorient
Clermont Foot,1,6,Paris
Paris,2,1,Marseille
Angers,0,3,Paris
Paris,1,1,Lens
Strasbourg,3,3,Paris
Paris,2,2,Troyes
Montpellier,0,4,Paris
Paris,5,0,Metz
Metz,3,3,LOSC
LOSC,0,4,Nice
Saint-Étienne,1,1,LOSC
LOSC,2,1,Montpellier
Lorient,2,1,LOSC
Lens,1,0,LOSC
LOSC,2,1,Reims
Strasbourg,1,2,LOSC
LOSC,2,0,Marseille
Clermont Foot,1,0,LOSC
LOSC,1,1,Brest
LOSC,1,1,Angers
Monaco,2,2,LOSC
LOSC,1,1,Nantes
Rennes,1,2,LOSC
LOSC,2,1,Troyes
LOSC,0,0,Lyon
Bordeaux,2,3,LOSC
Marseille,1,1,LOSC
LOSC,3,1,Lorient
Brest,2,0,LOSC
Montpellier,0,1,LOSC
LOSC,0,0,Metz
Lyon,0,1,LOSC
LOSC,4,0,Clermont Foot
LOSC,0,0,Saint-Étienne
Nantes,0,1,LOSC
LOSC,0,0,Bordeaux
Angers,1,1,LOSC
LOSC,1,2,Lens
Reims,2,1,LOSC
LOSC,1,0,Strasbourg
Troyes,3,0,LOSC
LOSC,1,2,Monaco
Nice,1,3,LOSC
LOSC,2,2,Rennes
