EquipoEnLocal,golesLocal,EquipoEnVisitante,golesVisitante
Ajax,55,Ajax,21
Atalanta,11,Atalanta,7
Atletico,32,Atletico,9
Barcelona,152,Barcelona,99
Bayern,115,Bayern,30
Benfica,49,Benfica,32
Besiktas,0,Besiktas,0
Chelsea,106,Chelsea,83
Club Brugge,0,Club Brugge,0
Dortmund,48,Dortmund,14
Dynamo Kyiv,0,Dynamo Kyiv,0
Internazionale,47,Internazionale,43
Juventus,95,Juventus,54
Leipzig,13,Leipzig,19
Liverpool,79,Liverpool,42
LOSC,15,LOSC,3
Malmö,3,Malmö,2
Man. City,48,Man. City,6
Man. United,120,Man. United,28
Milan,84,Milan,63
Paris,35,Paris,13
Porto,48,Porto,42
Real Madrid,158,Real Madrid,99
Salzburg,0,Salzburg,0
Sevilla,29,Sevilla,30
Shakhtar Donetsk,67,Shakhtar Donetsk,43
Sheriff,0,Sheriff,0
Sporting CP,14,Sporting CP,4
Villarreal,9,Villarreal,5
Wolfsburg,0,Wolfsburg,0
Young Boys,5,Young Boys,0
Zenit,20,Zenit,9
