Equipo,golesLocal,golesRecibidosLocal,golesVisitante,golesRecibidosVisitante
Ajax,3.6470588235294117,0.47058823529411764,0.7647058823529411,0.6470588235294118
Atalanta,1.631578947368421,1.5263157894736843,1.7894736842105263,1.0
Atletico,1.736842105263158,0.8421052631578947,1.6842105263157894,1.4210526315789473
Barcelona,1.9473684210526316,1.0,1.631578947368421,1.0
Bayern,2.823529411764706,0.8823529411764706,2.8823529411764706,1.2941176470588236
Benfica,2.1176470588235294,0.9411764705882353,2.4705882352941178,0.8235294117647058
Besiktas,1.6842105263157894,1.2105263157894737,1.368421052631579,1.3157894736842106
Chelsea,1.9473684210526316,1.1578947368421053,2.0526315789473686,0.5789473684210527
Club Brugge,2.1176470588235294,0.9411764705882353,2.1176470588235294,1.2352941176470589
Dortmund,3.0588235294117645,1.6470588235294117,1.9411764705882353,1.411764705882353
Dynamo Kyiv,2.4444444444444446,0.3333333333333333,2.7777777777777777,0.6666666666666666
Internazionale,2.7058823529411766,0.7647058823529411,2.0,0.8823529411764706
Juventus,1.3157894736842106,0.7368421052631579,1.6842105263157894,1.2105263157894737
Leipzig,2.5294117647058822,1.0,1.7058823529411764,1.1764705882352942
Liverpool,2.5789473684210527,0.47368421052631576,2.3684210526315788,0.8947368421052632
LOSC,1.263157894736842,1.1578947368421053,1.263157894736842,1.368421052631579
Malmö,2.066666666666667,1.0666666666666667,1.8,0.9333333333333333
Man. City,3.0526315789473686,0.7894736842105263,2.1578947368421053,0.5789473684210527
Man. United,1.7777777777777777,1.1111111111111112,1.3333333333333333,1.7222222222222223
Milan,1.4736842105263157,0.631578947368421,2.1578947368421053,1.0
Paris,2.5789473684210527,0.631578947368421,2.1578947368421053,1.263157894736842
Porto,2.9411764705882355,0.6470588235294118,2.1176470588235294,0.6470588235294118
Real Madrid,2.3157894736842106,0.6842105263157895,1.894736842105263,0.9473684210526315
Salzburg,3.0,0.45454545454545453,1.5454545454545454,0.7272727272727273
Sevilla,1.894736842105263,0.8947368421052632,0.8947368421052632,0.6842105263157895
Shakhtar Donetsk,3.2222222222222223,0.7777777777777778,2.0,0.5555555555555556
Sheriff,2.6785714285714284,0.2857142857142857,2.6785714285714284,0.2857142857142857
Sporting CP,2.0,0.47058823529411764,2.2941176470588234,0.8823529411764706
Villarreal,2.1052631578947367,0.9473684210526315,1.2105263157894737,1.0
Wolfsburg,1.4705882352941178,1.2352941176470589,1.0588235294117647,1.9411764705882353
Young Boys,2.2777777777777777,1.1666666666666667,2.1666666666666665,2.1666666666666665
Zenit,2.8666666666666667,1.0,1.5333333333333334,0.8666666666666667
