Equipo,golesLocal,golesRecibidosLocal
Ajax,1.5277777777777777,1.1111111111111112
Atalanta,1.8333333333333333,0.6666666666666666
Atletico,2.7222222222222223,0.5
Barcelona,2.4126984126984126,0.6825396825396826
Bayern,2.3684210526315788,0.631578947368421
Benfica,1.3611111111111112,0.9722222222222222
Besiktas,0.6666666666666666,3.0
Chelsea,2.2083333333333335,0.75
Club Brugge,0.0,0.0
Dortmund,1.6666666666666667,0.7878787878787878
Dynamo Kyiv,1.0,0.6666666666666666
Internazionale,1.5666666666666667,0.9
Juventus,1.8627450980392157,0.6666666666666666
Leipzig,1.4444444444444444,1.8888888888888888
Liverpool,1.880952380952381,0.8571428571428571
LOSC,1.0,1.1333333333333333
Malmö,0.5,1.8333333333333333
Man. City,2.2222222222222223,1.1481481481481481
Man. United,2.1578947368421053,0.8070175438596491
Milan,1.6470588235294117,0.9215686274509803
Paris,2.5555555555555554,0.6111111111111112
Porto,1.3783783783783783,1.0
Real Madrid,2.742424242424242,0.9090909090909091
Salzburg,0.0,0.0
Sevilla,1.9333333333333333,1.1333333333333333
Shakhtar Donetsk,1.9285714285714286,1.1428571428571428
Sheriff,0.0,0.0
Sporting CP,1.3888888888888888,1.2222222222222223
Villarreal,1.0,1.2222222222222223
Wolfsburg,2.0,0.6666666666666666
Young Boys,1.6666666666666667,0.6666666666666666
Zenit,1.2083333333333333,1.0416666666666667
